Name,Genre,Year,IMDB rating,Plot
The Terminator,Action,1984,8,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation"
The Shawshank Redemption,Drama,1994,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency"
Hackers,Comedy,1995,6.2,Hackers are blamed for making a virus that will capsize five oil tankers.
Cube,Drama,1997,7.2,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.
The Ring,Horror,2002,7.1,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it
Django Unchained,Western,2012,8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi"
Casablanca,Romance,1942,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco
Hercules in New York,Comedy,1970,3.3,Hercules is sent to Earth where he finds true love and starts a promising career in the bodybuilder business
The Matrix,Action,1999,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence"
WarGames,Action,1983,7.1,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III"